"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: maxDepth","Param: minDepth","Param: paramCount","Param: repeat","Param: stackDepth"
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,29931.826479,137.290386,"ns/op",5,4,,100,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,295626.167060,1609.814322,"ns/op",5,4,,1000,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,5444.787362,18.405874,"ns/op",6,2,,10,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,57982.086945,359.138507,"ns/op",6,2,,100,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,566898.135189,4108.558818,"ns/op",6,2,,1000,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,5424.582166,21.527566,"ns/op",6,3,,10,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,56353.928254,1094.082224,"ns/op",6,3,,100,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,562267.929626,2181.952871,"ns/op",6,3,,1000,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,4163.508923,28.100307,"ns/op",6,4,,10,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,42638.687222,253.645573,"ns/op",6,4,,100,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,422221.437701,1415.027470,"ns/op",6,4,,1000,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,5404.609488,32.198854,"ns/op",7,2,,10,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,56664.560958,307.086834,"ns/op",7,2,,100,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,566725.112925,6201.319453,"ns/op",7,2,,1000,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,5443.311770,18.823310,"ns/op",7,3,,10,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,56061.594993,853.049368,"ns/op",7,3,,100,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,567706.721753,1324.132318,"ns/op",7,3,,1000,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,4159.414440,24.858538,"ns/op",7,4,,10,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,42418.397112,285.032458,"ns/op",7,4,,100,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,422256.516539,4258.777556,"ns/op",7,4,,1000,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,6558.623389,11.926658,"ns/op",8,2,,10,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,68142.787468,628.808047,"ns/op",8,2,,100,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,684711.786448,3223.108075,"ns/op",8,2,,1000,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,6540.672660,32.678890,"ns/op",8,3,,10,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,67939.235487,719.513060,"ns/op",8,3,,100,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,677799.096699,2525.686159,"ns/op",8,3,,1000,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,5446.274785,44.508762,"ns/op",8,4,,10,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,56569.537537,604.183407,"ns/op",8,4,,100,
"org.openjdk.benchmarks.cont.Oscillation.oscillate","avgt",1,5,566955.652221,2170.922301,"ns/op",8,4,,1000,
"org.openjdk.benchmarks.cont.Thaw.justContinue","avgt",1,5,337.448002,7.840937,"ns/op",,,1,,5
"org.openjdk.benchmarks.cont.Thaw.justContinue","avgt",1,5,464.896760,7.843136,"ns/op",,,1,,10
"org.openjdk.benchmarks.cont.Thaw.justContinue","avgt",1,5,797.524962,15.018994,"ns/op",,,1,,20
"org.openjdk.benchmarks.cont.Thaw.justContinue","avgt",1,5,3542.835440,64.134804,"ns/op",,,1,,100
"org.openjdk.benchmarks.cont.Thaw.justContinue","avgt",1,5,261.717088,4.713369,"ns/op",,,2,,5
"org.openjdk.benchmarks.cont.Thaw.justContinue","avgt",1,5,479.666281,4.148900,"ns/op",,,2,,10
"org.openjdk.benchmarks.cont.Thaw.justContinue","avgt",1,5,836.792410,18.700648,"ns/op",,,2,,20
"org.openjdk.benchmarks.cont.Thaw.justContinue","avgt",1,5,3720.177478,84.999079,"ns/op",,,2,,100
"org.openjdk.benchmarks.cont.Thaw.justContinue","avgt",1,5,274.038432,3.229613,"ns/op",,,3,,5
"org.openjdk.benchmarks.cont.Thaw.justContinue","avgt",1,5,512.922618,6.038920,"ns/op",,,3,,10
"org.openjdk.benchmarks.cont.Thaw.justContinue","avgt",1,5,898.666713,9.432774,"ns/op",,,3,,20
"org.openjdk.benchmarks.cont.Thaw.justContinue","avgt",1,5,4139.791053,216.386849,"ns/op",,,3,,100
